heart_rate,speed_past_60_seconds,avg_temp,slope,walk
167,19.59036,18,flat,run
145,13.142760000000001,17,down,run
155,14.5485,20,flat,run
142,12.17538,15,down,run
166,17.00076,15,flat,run
141,12.60438,16,up,run
149,12.6429,24,up,run
171,13.90716,17,flat,run
133,13.49538,18,down,run
130,11.07462,18,flat,run
171,15.45444,23,flat,run
77,4.614,17,flat,walk
148,14.65848,17,down,run
168,18.53646,14,flat,run
133,12.06516,15,flat,run
137,20.42897143,24,up,walk
165,15.6882,13,flat,run
162,15.08874,14,down,run
174,18.44934,18,down,run
131,12.13386,22,up,run
171,15.70038,18,down,run
125,10.29608182,21,up,walk
157,15.34554,12,flat,run
169,19.15506,8,down,run
148,12.67842,5,flat,run
181,11.42142,6,down,run
144,11.4819,2,down,run
171,10.53054,4,down,run
140,12.18828,6,flat,run
152,13.47318,5,up,run
148,13.19556,9,flat,run
171,17.0553,10,flat,run
159,10.74,4,flat,run
138,12.6888,5,flat,run
157,12.52584,2,down,run
166,15.50622,3,flat,run
110,3.762,4,flat,walk
162,13.86594,7,flat,run
156,11.46336585,5,flat,walk
156,13.5153931,9,down,walk
153,13.34028,2,up,run
169,16.76286,4,flat,run
94,0,6,flat,walk
145,13.4751,14,up,run
153,14.05914,2,flat,run
170,21.05772,3,down,walk
162,13.71672,17,flat,run
158,12.85296,1,up,run
158,14.24838,0,flat,run
164,14.17728,1,up,run
162,12.79542,8,flat,run
146,12.57408,3,down,run
169,15.13896,6,up,run
159,14.65092,0,flat,run
161,12.20238,-6,flat,run
172,12.99468,-8,flat,run
155,13.25646,1,flat,run
158,12.91026,4,down,run
153,12.45882,14,flat,run
165,14.0328,-6,down,run
163,13.24014,-1,up,run
153,11.26452,-8,down,run
157,12.8661,-6,up,run
162,14.43774,0,up,run
159,14.15742,11,down,run
151,13.10232,3,down,run
167,16.88652,9,up,run
144,12.75288,-1,flat,run
155,12.14922,0,flat,run
166,16.0791,8,flat,run
153,12.11808,3,up,run
159,12.07402759,-4,flat,walk
154,12.30804,1,flat,run
149,15.13362,0,up,run
148,13.94724,-6,flat,run
169,13.63224,4,flat,run
148,11.87244,10,down,run
164,12.6771,8,down,run
164,14.04618,7,flat,run
144,10.97082,2,down,run
153,12.59208,-1,down,run
156,13.58946,1,flat,run
161,13.75656,5,flat,run
153,13.76352,7,up,run
154,12.32775,3,up,walk
163,14.58504,8,flat,run
151,12.68454,4,up,run
146,10.449,9,up,run
154,13.02486,2,flat,run
81,3.762,2,flat,walk
162,13.89204,3,flat,run
140,12.09696429,2,down,walk
167,13.3272,4,flat,run
162,12.44412,4,down,run
164,12.43458,3,down,run
163,14.44626,9,down,run
169,13.3338,9,flat,run
155,11.58432,18,down,run
154,12.64836,16,down,run
163,13.85406,7,flat,run
158,12.2196,13,flat,run
183,15.27036,13,up,run
161,11.9826,25,flat,run
159,13.11336,15,flat,run
166,13.94388,14,flat,run
155,13.24758,15,up,run
176,13.73813333,16,down,walk
164,12.14382,20,down,run
171,14.12634,24,up,run
155,13.8183,34,up,run
136,11.4003,22,up,run
176,14.98668,18,down,run
177,12.04698,22,flat,run
175,14.30364,22,flat,run
163,14.24568,20,down,run
161,11.44452,32,flat,run
161,11.81196,34,flat,run
170,14.5782,26,down,run
142,12.29658,27,flat,run
172,14.82996,24,down,run
163,12.57642,27,down,run
155,11.39694,32,flat,run
114,5.3304,24,flat,walk
146,13.31202,23,up,run
171,13.7523,27,up,run
119,17.5008,23,flat,walk
148,11.80344,26,flat,run
148,13.61172,21,up,run
157,13.90332,22,down,run
169,19.20762,21,down,run
160,14.10564,27,flat,run
144,14.74589189,24,down,walk
168,19.54908,20,flat,run
148,13.34406,25,down,run
184,15.62988,30,flat,run
147,13.09618723,24,flat,walk
165,15.68148,21,flat,run
109,0.0342,28,flat,walk
159,13.7559,30,down,run
166,15.08814,24,flat,run
165,12.88218,27,down,run
150,12.579,28,down,run
148,14.06676,24,down,run
159,17.86698,24,down,run
159,12.8607,28,up,run
157,13.33302,20,flat,run
161,13.12554,23,down,run
164,13.21626,30,flat,run
157,12.44052,27,down,run
164,14.98368,21,flat,run
167,14.54034,19,down,run
163,14.91174,19,flat,run
159,11.95236,20,up,run
163,13.7106,26,flat,run
158,15.00426,25,down,run
150,11.71218,31,flat,run
162,13.13562,17,up,run
144,12.53052,20,down,run
151,13.15128,16,down,run
158,15.0309,16,flat,run
161,12.85854,17,up,run
155,14.97036,17,flat,run
157,13.90842,29,down,run
152,15.64098,12,down,run
177,13.60194,17,flat,run
159,14.34096,15,flat,run
159,13.234680000000001,10,up,run
150,13.0419,13,flat,run
170,15.19548,14,up,run
149,13.30212,9,down,run
156,12.00612,13,flat,run
165,15.91038,9,down,run
139,16.29565714,11,flat,walk
166,13.245,13,up,run
165,14.44512,10,flat,run
152,13.48008,1,down,run
180,16.26408,0,flat,run
154,12.4185,2,up,run
153,12.12138,2,flat,run
166,11.65566,2,flat,run
163,11.91696,6,flat,run
162,13.35756,6,up,run
169,16.2672,0,up,run
159,12.00654,0,up,run
171,13.00488,4,flat,run
158,13.7388,5,flat,run
147,12.79722,4,flat,run
155,13.4988,7,down,run
164,15.88776,1,flat,run
156,11.05584,11,up,run
154,13.11036,5,flat,run
149,12.75294,2,down,run
170,10.45484211,-2,down,walk
170,13.33122,0,up,run
155,12.8457,0,flat,run
153,12.24114,3,up,run
165,13.15026,0,up,run
151,12.09378,3,up,run
106,20.1321,9,flat,walk
152,12.90391579,12,flat,walk
148,11.92278,4,flat,run
163,14.53344,10,up,run
155,13.30038,-4,up,run
164,12.89886,-5,flat,run
160,13.76748,0,up,run
149,11.91588,1,up,run
149,14.4582,1,down,run
165,11.99106,0,flat,run
162,11.98962,-3,flat,run
168,13.4439,-5,flat,run
153,14.60784,-8,up,run
145,13.15188,-4,up,run
166,14.04006,-13,flat,run
163,14.82894,-6,flat,run
163,13.5189,-8,up,run
157,12.36468,-12,up,run
145,10.58682,-25,flat,run
154,12.50412,3,down,run
148,14.11842,9,up,run
168,15.41964,4,up,run
151,13.96074,3,up,run
73,1.6452,2,flat,walk
133,9.004645161,1,flat,walk
167,14.28486,7,flat,run
157,13.27806,-6,down,run
155,13.58502,0,flat,run
165,16.29474,-3,up,run
158,13.158,0,up,walk
150,11.82132,1,up,run
147,11.91504,-1,flat,run
165,10.47858,0,flat,run
173,10.42638,-5,flat,run
133,12.73884,-4,up,run
165,15.45504,-4,down,run
150,12.5235,-8,down,run
168,11.81274,0,flat,run
146,12.10122,-4,up,run
110,11.2572,-1,flat,walk
138,12.04866,0,down,run
168,16.15704,3,flat,run
139,12.11682,3,flat,run
169,16.93392,4,up,run
146,13.71336,9,flat,run
132,13.11858,7,flat,run
127,11.3031,5,up,walk
149,13.08978,4,up,run
152,13.71552,6,flat,run
163,12.8502,8,down,run
164,16.39428,10,down,run
140,12.6978,14,flat,run
161,12.0729,10,flat,run
159,14.68026,7,flat,run
137,11.60652,5,flat,run
135,12.07407857,9,down,walk
145,13.4667,14,flat,run
139,12.9057,5,flat,run
139,13.05366,6,flat,run
162,15.04914,10,down,run
126,10.5837,11,flat,run
158,14.67402,14,flat,run
167,17.40192,4,flat,run
136,12.81384,8,flat,run
138,11.89884,10,down,run
161,15.6387,11,flat,run
136,12.65178462,12,flat,walk
158,12.46698,11,down,run
143,12.53496,23,flat,run
167,11.50104,9,down,run
170,12.8787,22,flat,run
155,14.34348,24,flat,run
146,12.3132,21,up,run
161,15.09354,11,flat,run
139,11.07204,11,down,run
156,13.43034,14,down,run
148,13.30416,19,down,run
148,13.87656,8,down,run
164,13.84464,15,flat,run
148,11.44794,13,flat,run
143,12.93396,16,flat,run
140,12.73704,10,flat,run
147,11.72598,10,flat,run
166,15.38286,10,up,run
141,12.7872,15,flat,run
134,17.5192,18,up,walk
143,11.724,24,flat,run
138,13.06788,8,down,run
166,15.97314,17,down,run
138,12.11844,21,down,run
145,14.46402,10,up,run
140,12.66396,27,flat,run
153,13.6362,25,up,run
179,16.57956,24,down,run
138,12.91206,16,up,run
140,13.1688,17,flat,run
119,10.29078,17,flat,run
106,2.3508,15,flat,walk
127,11.03796,17,flat,run
139,12.1506,27,flat,run
160,11.31602034,21,up,run
173,15.89568,21,flat,run
149,12.26016,21,flat,run
142,12.48096,19,down,run
146,13.53156,14,flat,run
163,14.27328,15,down,run
133,12.88584,14,up,run
159,15.82452,16,flat,run
151,13.2423,21,flat,run
145,13.25766,18,up,run
120,8.6816,19,flat,walk
146,13.0809,20,flat,run
153,12.32298,14,flat,run
134,12.50172,25,up,run
148,13.28964,22,flat,run
124,11.32668,14,up,run
137,11.87196,15,up,run
152,13.99968,16,down,run
146,12.96948,15,flat,run
173,19.86366,15,up,run
132,12.26946,15,flat,run
148,13.30572,14,up,run
159,14.7015,20,flat,run
149,13.54458,20,down,run
152,14.54106,25,flat,run
156,12.96324,23,up,run
138,13.1676,19,flat,run
138,10.44052364,25,up,walk
161,8.782677551,22,flat,walk
173,17.10228,21,down,run
136,11.36202,22,flat,run
155,15.10098,24,up,run
115,12.0307,26,up,walk
157,13.29264,24,flat,run
147,12.35286,26,flat,run
146,14.12892,28,down,run
145,12.15774,28,down,run
133,10.7559,22,up,run
147,14.54856,22,down,run
138,13.37070508,24,down,run
162,12.97308,25,flat,run
134,12.88884,21,flat,run
127,12.25708475,25,down,walk
154,14.6784,33,flat,run
142,12.36018,28,down,run
145,14.05266,31,down,run
141,13.33068,24,up,run
113,11.38885714,24,flat,walk
144,12.77322,30,flat,run
103,6.0308,34,flat,walk
138,12.4593,28,flat,run
139,14.26848,22,flat,run
140,13.00074,22,up,run
141,13.56402,21,flat,run
158,11.14266,24,up,run
131,12.49656,21,down,run
111,9.53028,24,flat,run
156,14.1834,30,flat,run
151,14.20158,23,up,run
154,15.33972,30,flat,run
141,12.24672,26,up,run
174,19.07754,23,down,run
148,13.38222,28,up,run
136,12.5499,29,flat,run
111,10.15158,24,flat,run
132,12.66354,23,down,run
148,14.81784,22,flat,run
169,16.51266,28,flat,run
140,12.04554,25,flat,run
145,13.24524,30,flat,run
131,13.09806,25,flat,run
137,11.49516,22,flat,run
118,13.5894375,25,flat,walk
149,14.2932,22,down,run
145,13.3215,23,down,run
148,10.7235,27,flat,run
133,11.80842,24,up,run
148,13.36308,26,down,run
143,13.62324,21,up,run
150,11.961,25,flat,run
125,10.8522,23,up,run
160,15.56094,26,flat,run
171,18.44808,17,down,run
148,11.81964,18,down,run
128,12.08988,19,flat,run
148,13.70826,17,down,run
125,12.10578,20,up,run
141,13.4604,28,flat,run
171,19.82976,29,flat,run
138,13.59786,21,flat,run
179,13.51494,25,flat,run
124,11.08896,25,down,run
119,10.58826,20,flat,run
125,11.83452,20,flat,run
134,13.59228,21,flat,run
130,11.60724,22,flat,run
139,12.72576,22,flat,run
156,13.12038,24,flat,run
136,12.35922,22,up,run
124,10.12056,25,flat,run
147,13.27662,28,flat,run
132,12.01104,15,down,walk
143,11.50152,13,up,run
98,10.24665882,16,up,walk
131,12.5772,15,flat,run
138,12.68694,17,down,run
132,12.37542,8,up,run
115,10.52922,11,flat,run
141,18.86328,16,flat,walk
126,12.1383,8,up,run
131,10.85482105,9,up,walk
140,13.06422,11,up,run
144,11.706,17,flat,run
124,12.18318,11,flat,run
135,12.37416,16,up,run
115,9.8415,13,down,walk
130,12.3822,8,down,run
126,11.87784,6,down,run
129,11.75598,8,flat,run
153,13.0578,15,flat,run
134,12.85176,4,up,run
136,12.57499636,12,down,walk
144,12.41592,9,down,run
157,10.10664,3,down,walk
153,13.19286,-2,up,run
146,11.63418,8,flat,run
158,11.86812,5,down,walk
160,9.3405,-5,down,run
167,12.29621053,-2,flat,run
148,12.21468,0,flat,run
127,11.77032,1,flat,run
133,12.20736,4,flat,run
160,11.95758,3,flat,run
156,12.89808,5,up,run
168,11.7336,0,up,run
125,10.93188,3,flat,run
126,10.1628,11,flat,walk
118,10.55888372,10,down,walk
160,12.91674,6,flat,run
161,12.46338,6,flat,run
175,17.30016,2,flat,run
112,8.26812,2,flat,run
145,12.97362,3,down,run
132,11.31492,5,down,run
79,2.2848,1,flat,walk
131,11.685,5,flat,run
150,13.9659,8,up,run
164,16.43754,11,flat,run
170,13.98084,13,down,run
141,12.6192,9,up,run
128,10.763064,5,down,walk
155,13.50348,6,flat,run
136,10.70946,14,flat,run
143,13.05384,-1,flat,run
140,11.73084,5,flat,run
162,13.18938,8,up,run
145,12.393,2,down,run
146,12.79704,1,up,run
79,5.0178,3,flat,walk
146,11.32044,3,up,run
145,11.66826,10,up,run
169,14.87886,-1,flat,run
166,14.5278,1,flat,walk
147,12.37122,-7,down,run
138,12.84732,-2,up,run
150,13.4874,2,down,run
150,12.7143,-4,up,run
128,8.736,-1,flat,walk
166,12.56052,-1,up,run
135,11.70918,0,up,run
165,15.21564,1,flat,run
162,12.47033898,2,up,run
165,12.2877,0,up,run
143,13.14186,0,flat,run
146,13.41612,2,down,run
137,11.1045,0,down,run
163,13.82508,5,up,run
153,13.15242,12,down,run
144,12.93072,4,flat,run
169,12.65242105,0,up,run
166,12.26634,0,flat,run
166,16.2282,4,flat,run
131,12.56352,1,flat,run
135,12.40554,-2,flat,run
159,15.08076,0,up,run
126,11.24286,0,down,run
123,11.62194,-11,flat,run
125,11.41032,0,flat,run
156,14.24724,4,down,run
124,11.28516,-4,flat,run
164,12.3813,-6,up,run
164,10.85694,0,flat,run
142,9.803207547,15,down,walk
152,11.4327,0,flat,run
144,13.10784,-2,down,run
120,11.03748,-1,flat,run
177,13.53522,-2,up,run
172,16.84734,3,down,run
160,14.92896,15,flat,run
124,11.39784,3,up,run
165,13.37046,6,flat,run
131,12.20718,7,down,run
151,11.85804,0,flat,run
177,17.80944,9,flat,run
122,10.85376,9,flat,run
146,13.60476,2,flat,run
140,11.05278,7,down,run
140,13.58832,13,down,run
142,12.38418,10,up,run
142,12.17208,6,up,run
134,12.28098,5,flat,run
130,11.61762,6,up,run
177,13.2699,5,flat,run
123,10.05576,15,flat,run
142,12.3936,1,flat,run
130,11.9643,1,flat,run
164,16.92282,1,down,run
141,12.76026,2,up,run
127,11.46798,11,down,run
133,12.45342,10,flat,run
130,11.79174,5,flat,run
126,12.08238,9,flat,run
143,11.10378,6,down,run
148,13.20726,12,down,run
150,11.985,17,down,run
162,12.98502,6,flat,run
151,14.64078,4,up,run
146,11.25422308,8,down,walk
153,13.15032,6,down,run
140,11.03020714,16,down,walk
144,11.88918,16,flat,run
161,13.95156,5,down,run
137,11.31654,11,down,run
138,12.07902,8,down,run
143,10.94322,15,flat,run
145,11.47218,16,flat,run
144,10.83148364,10,down,walk
167,13.51686,26,up,run
129,11.05104,17,down,run
136,10.75704,8,flat,run
155,11.54466,14,flat,run
163,11.7732,9,up,run
143,11.9643,7,up,run
146,12.6621,15,flat,run
134,11.52168,8,flat,run
147,13.25568,9,up,run
148,12.59478,14,flat,run
144,11.56722,23,up,run
134,11.48532,19,down,run
135,12.94932,15,down,run
157,13.00404,12,down,run
152,13.60908,17,down,run
145,12.08142,16,flat,run
149,10.9896,23,down,run
150,11.28918,31,down,run
130,10.22493333,26,flat,walk
130,11.99082,25,flat,run
136,12.73584,19,up,run
163,11.8125,19,up,run
144,13.35324,15,up,run
154,11.39358,35,up,run
150,11.74536,25,down,run
159,11.40426,21,flat,run
138,10.99668,29,down,run
139,11.3799,16,up,run
156,10.99588235,24,down,walk
160,11.54472,24,flat,run
133,11.74188,21,down,run
137,12.10164,22,flat,run
165,11.83524,16,flat,run
131,10.9152,18,down,run
142,11.20494,21,down,run
125,10.58184,21,flat,run
135,10.9818,26,up,run
142,10.47288,25,down,run
125,11.3769,31,up,run
159,12.63276,27,up,run
143,11.14872,19,up,run
122,12.15504,21,down,run
157,12.79296,21,up,run
139,13.20696,20,up,run
152,11.09784,30,down,run
134,11.21832,23,flat,run
142,11.01528,25,down,run
168,13.30974,32,up,run
164,12.93318,27,up,run
164,11.02284,28,flat,run
141,11.97054,30,flat,run
136,11.10072,26,flat,run
140,11.8854,29,flat,run
117,10.76636842,30,flat,walk
158,12.65574,27,flat,run
133,11.11386,24,up,run
167,11.4489,26,flat,run
154,13.35138,23,flat,run
138,12.22032,25,down,run
161,11.67282,33,down,run
150,14.72226,24,flat,run
146,12.4314,23,up,run
139,11.80026,24,flat,run
128,11.65776,21,up,run
108,9.9282375,34,flat,walk
141,12.7863,26,down,run
134,11.03208,25,down,run
135,12.09906,27,flat,run
142,11.89692,24,flat,run
131,12.53148,23,flat,run
165,14.16864,24,up,run
116,10.16618182,26,down,walk
140,11.53248,19,flat,run
138,12.25434,20,flat,run
149,12.52692,21,flat,run
118,10.39242,22,down,run
143,11.95044,28,flat,run
170,19.28766,33,flat,run
154,11.74326,31,up,run
142,11.40888,26,flat,run
130,11.70096,23,up,run
174,11.8608,23,down,run
132,9.606208696,25,down,walk
145,11.21088,26,flat,run
138,12.27252,30,flat,run
142,12.71412,26,flat,run
161,10.4649,23,flat,run
148,13.83672,23,flat,run
118,10.00044,24,down,run
123,10.35006,25,flat,run
148,10.73805283,29,flat,walk
127,11.58618462,28,down,walk
151,13.07586,24,up,run
125,10.92762,29,flat,run
158,12.70836,27,down,run
137,10.79628,29,flat,run
108,0.6552,28,flat,walk
153,13.08594,25,flat,run
122,9.304457143,22,flat,walk
146,11.4204,22,flat,run
135,11.18556,26,down,run
148,13.6032,25,flat,run
166,11.3274,29,down,run
151,12.87072,24,flat,run
171,16.53024,16,down,run
137,10.7208,16,down,run
129,10.86618,17,flat,run
145,12.18612,21,down,run
146,12.32154,23,flat,run
135,11.75425714,18,down,walk
135,12.22092,18,up,run
140,12.3258,18,down,run
148,10.95546,15,down,run
143,13.51134,15,flat,run
150,12.21072,22,flat,run
145,11.92746,17,flat,run
147,10.78596,19,down,run
132,10.9725,19,up,run
158,14.09556,21,flat,run
149,12.5658,25,up,run
155,14.30382,15,down,run
140,11.39184,13,up,run
138,12.61542,12,up,run
152,12.27612,10,flat,run
144,12.7902,16,flat,run
148,11.20044,10,flat,run
139,10.65366,14,down,run
153,11.91378,19,up,run
155,12.46524,15,up,run
151,11.11014,25,flat,run
136,9.849456,17,up,walk
132,10.63464,20,flat,run
142,13.32672,24,flat,run
130,10.67484,13,flat,run
124,11.544,12,flat,run
139,12.95874,6,up,run
124,9.59772,12,flat,run
145,10.75566,11,flat,run
157,14.91708,15,flat,run
139,11.54526,7,down,run
133,10.88526,8,down,run
152,13.16928,3,up,run
140,12.4635,3,flat,run
150,11.24808,8,flat,run
138,10.3197,3,up,run
161,12.33426,9,up,run
158,13.34148,11,up,run
158,11.87166,13,flat,run
166,13.41006,20,flat,run
147,13.92792,21,up,run
146,13.06386,21,down,run
147,11.91462,6,flat,run
140,13.31418,9,flat,run
156,11.37252,8,flat,run
134,10.85772,6,flat,run
153,13.22574,6,flat,run
132,11.78658,12,flat,run
152,11.86608,11,up,run
134,10.3281,7,flat,run
161,13.39728,8,up,run
136,11.73222,6,down,run
134,11.55414,10,flat,run
161,14.22384,0,flat,run
136,12.55944,-1,flat,run
146,11.83506,4,flat,run
128,11.2533,4,down,run
129,10.39512,4,flat,run
151,12.11298,5,flat,run
131,10.59228,2,flat,run
151,12.79512,2,up,run
127,10.12398,8,down,run
141,11.96796,5,flat,run
141,11.14146,-1,flat,run
146,13.42944,0,down,run
170,14.95908,6,flat,run
146,11.47938,3,up,run
130,10.35732414,12,flat,walk
151,12.97656,0,flat,run
141,11.26044,7,flat,run
149,11.8176,-1,up,run
149,13.5651,1,down,run
151,12.876,2,flat,run
149,12.8622,2,up,run
149,12.10518,2,down,run
141,10.93428,2,up,run
155,13.29864,5,down,run
148,12.61542,0,flat,run
147,12.67134,4,down,run
134,10.2018,2,flat,run
149,12.13602,1,up,run
145,11.25918,1,flat,run
148,11.21616,0,up,run
127,10.09452,0,flat,run
128,10.54302,3,flat,run
133,11.53932,1,down,run
130,10.85136,0,flat,run
134,11.11752,-1,down,run
146,11.808,-1,down,run
148,13.26072857,0,down,walk
139,11.18658,0,down,run
160,12.03156,0,down,run
134,10.27152,0,flat,run
131,10.54704,0,flat,run
149,11.75196,-13,flat,run
145,12.80178,-9,flat,run
121,11.22882,-4,flat,run
150,11.20356,-7,flat,run
135,9.10206,-5,flat,run
152,13.28064,-4,flat,run
161,14.22036,2,down,run
137,12.53214,8,flat,run
158,12.13962,3,flat,run
155,12.29346,3,flat,run
165,14.22096,10,flat,run
158,14.157,5,down,run
143,12.40218,12,flat,run
150,12.0987,0,flat,run
136,11.8785,10,up,run
144,11.83158,20,flat,run
141,10.48177895,11,up,walk
163,11.71746,4,down,run
135,10.6539,16,flat,run
147,11.619,2,flat,run
140,12.24306,5,up,run
141,12.21648,5,flat,run
144,11.34312,11,down,run
162,13.47012,16,down,run
154,13.28124,13,flat,run
139,11.25648,5,down,run
146,11.89584,11,up,run
143,11.83506,12,flat,run
147,12.50172,14,flat,run
141,12.24714,5,flat,run
144,12.9615,3,flat,run
151,11.7318,20,flat,run
146,12.55422,17,flat,run
166,16.37922,26,down,run
138,10.46232,16,down,run
142,12.82374,16,down,run
140,12.52008,11,flat,run
158,13.03554,16,flat,run
147,14.09238,6,flat,run
118,12.74838261,9,down,walk
131,12.26778,7,down,run
160,14.71536,7,up,run
151,11.5245,4,up,run
136,10.89678,12,flat,run
146,12.18924,14,flat,run
136,12.14856,24,down,run
145,10.45584,21,flat,run
131,12.59982,8,flat,run
163,10.74882,13,down,run
140,13.5963,24,flat,run
161,14.65176,18,flat,run
148,12.5907,13,flat,run
142,12.51552,10,down,run
140,12.12312,13,down,run
136,12.38214,18,flat,run
135,11.6181,14,flat,run
150,12.819,20,flat,run
146,12.51462,16,flat,run
96,8.83584,20,up,walk
